Name,Frequency
MEHMET,798162
MUSTAFA,540661
AHMET,467473
ALİ,461266
HASAN,361397
HÜSEYİN,361156
İBRAHİM,254168
İSMAİL,236655
OSMAN,205263
HALİL,150511
YUSUF,147493
ÖMER,145539
SÜLEYMAN,141271
ABDULLAH,132578
RAMAZAN,132194
MURAT,112011
MAHMUT,105903
SALİH,87724
KEMAL,77704
RECEP,76044
YAŞAR,69655
MEHMET ALİ,66339
BEKİR,65533
KADİR,60905
MUSA,58248
ŞÜKRÜ,56333
BAYRAM,55656
CEMAL,54535
ADEM,51565
MEMET,46895
ABDURRAHMAN,46595
DURSUN,45505
METİN,45177
ORHAN,44652
ŞABAN,44004
İSMET,43375
ARİF,43191
EMİN,41404
KAMİL,40000
CELAL,39653
VELİ,39335
MEVLÜT,38590
SELAHATTİN,38190
NURİ,37918
YILMAZ,37543
SABRİ,37350
YAKUP,36505
HALİT,35555
MUZAFFER,35004
ZEKİ,34427
NURETTİN,34154
İSA,33271
CEMİL,32403
MUHARREM,32209
FATİH,32036
İHSAN,31554
KAZIM,31467
HAKAN,31127
EROL,31063
AZİZ,30978
EKREM,30810
SADIK,30457
NECATİ,29875
AYHAN,29607
DURMUŞ,29062
HAKKI,29032
HAYDAR,28799
MEHMET EMİN,28788
HALİL İBRAHİM,28025
BİLAL,27516
HAMİT,27407
İLYAS,26955
KENAN,26797
NİHAT,26013
CENGİZ,25988
RIZA,25675
ABDULKADİR,25631
ŞEVKET,25376
NİYAZİ,25330
TAHİR,25302
AYDIN,25301
SAİT,25232
YUNUS,24560
HAMZA,24243
HİKMET,24192
REMZİ,24180
CUMA,24096
HASAN HÜSEYİN,23963
HAMDİ,23655
HACI,23426
ERDAL,23375
İZZET,23147
ERCAN,22671
CAFER,22648
SELİM,21918
İRFAN,21837
MESUT,21805
ŞAKİR,21804
FEVZİ,21801
TAHSİN,21496
ERKAN,21385
ADNAN,21299
ENVER,21283
VEYSEL,21216
GÖKHAN,20778
İDRİS,20607
NEVZAT,20222
ŞAHİN,20142
BÜLENT,20043
ERDOĞAN,20033
SİNAN,20025
ADİL,19817
HARUN,19803
MUHAMMET,19741
KASIM,19652
ALİ OSMAN,19630
SERKAN,19415
FARUK,19289
SAMİ,19266
DAVUT,19039
FİKRET,18989
YÜKSEL,18934
TURAN,18767
SALİM,18756
MUAMMER,18687
İLHAN,18665
HAYRETTİN,18633
BURHAN,18542
ZİYA,18504
TEVFİK,18399
FAHRETTİN,18340
YASİN,18083
ŞERİF,17973
FERHAT,17931
HÜSNÜ,17767
SEDAT,17662
MUHİTTİN,16819
FAHRİ,16722
ALİ RIZA,16408
UĞUR,16381
RASİM,16173
SATILMIŞ,16127
DURAN,15981
YAHYA,15628
HALİS,15392
REŞİT,15383
ZEKERİYA,15306
ENGİN,15201
EYÜP,14719
NECMETTİN,14518
CEVDET,14475
SEFER,14446
BAHRİ,14441
RESUL,14207
HİLMİ,14074
ERHAN,13732
SEYFETTİN,13553
BAHATTİN,13399
KERİM,13352
FEHMİ,13350
ÜMİT,13328
HACİ,13249
ŞERAFETTİN,13113
FAİK,13057
VEDAT,13039
MÜSLÜM,12946
ÇETİN,12910
EMRAH,12693
SERDAR,12670
DOĞAN,12597
FUAT,12554
ZAFER,12312
KAZİM,12233
FİKRİ,12157
HAYRİ,11874
HIDIR,11728
YAVUZ,11629
NAZIM,11593
MEHMET SALİH,11509
EŞREF,11498
ÖZCAN,11479
TURGUT,11279
TUNCAY,11247
ŞEYHMUS,11035
NAZMİ,10992
SERVET,10992
SEBAHATTİN,10810
ŞEVKİ,10701
ABDULKERİM,10682
MUHSİN,10567
HAŞİM,10550
ALİ İHSAN,10456
MECİT,10414
LÜTFİ,10408
RİFAT,10360
RAHMİ,10299
ABUZER,10296
NECİP,10279
ŞEREF,10270
DERVİŞ,10145
AKİF,10041
NECDET,9985
SUAT,9928
ABBAS,9910
SADETTİN,9907
NİZAMETTİN,9792
ŞEMSETTİN,9671
ERSİN,9639
RAŞİT,9512
ŞENOL,9511
SELAMİ,9381
İSMAİL HAKKI,9358
LEVENT,9349
CEVAT,9285
HANİFİ,9095
ÜNAL,9051
YALÇIN,9045
HİDAYET,9023
NEDİM,9016
TEMEL,8896
HALİM,8863
KEREM,8833
ARSLAN,8752
SELÇUK,8674
NACİ,8636
ÖZKAN,8584
CAHİT,8547
OKTAY,8392
REFİK,8313
İBRAHİM HALİL,8269
RIDVAN,8261
FAZLI,8257
ÖZGÜR,8210
MAHİR,8204
TALİP,8202
EMRULLAH,8173
RAFET,8044
SEYİT,8034
EMRE,8019
FETHİ,8013
FERİT,7988
HÜSAMETTİN,7945
CEMALETTİN,7908
RÜSTEM,7862
GAZİ,7731
YÜCEL,7705
ASIM,7702
ESAT,7669
MEHMET NURİ,7655
EYYÜP,7610
FEYZULLAH,7574
SIDDIK,7525
ETHEM,7460
VEYSİ,7449
HAYATİ,7446
SABAHATTİN,7386
İLHAMİ,7378
GALİP,7365
CUMALİ,7345
ABDULAZİZ,7294
ABİDİN,7292
CİHAN,7177
ERGÜN,7165
NUSRET,7162
ALAATTİN,7137
REŞAT,7110
MEHMET SAİT,7043
NAZİF,7042
KADRİ,6977
FEYZİ,6927
ŞEFİK,6925
MEMİŞ,6919
ASLAN,6887
ABDULBAKİ,6880
NAİL,6813
ZEYNEL,6811
BARIŞ,6696
NURULLAH,6696
MÜMİN,6689
ABDURRAHİM,6671
HİMMET,6659
SAVAŞ,6614
BAKİ,6583
COŞKUN,6566
TURGAY,6530
NADİR,6513
BEKTAŞ,6495
RIFAT,6438
NECMİ,6412
TANER,6326
MEHMET ZEKİ,6317
MEHMET ŞİRİN,6281
SONER,6250
İZZETTİN,6245
BÜNYAMİN,6219
BİROL,6197
VOLKAN,6187
LATİF,6127
ABDİ,6059
SEZAİ,6034
ÜZEYİR,5942
CAVİT,5935
MÜRSEL,5926
ERTUĞRUL,5891
ERDEM,5882
BEŞİR,5845
KAYA,5839
MEHMET ŞERİF,5835
MİKAİL,5726
VAHİT,5708
İSHAK,5707
AVNİ,5691
ÖKKEŞ,5627
ALAETTİN,5585
ATİLLA,5570
DURMUŞ ALİ,5567
HACI MEHMET,5554
ÖNDER,5542
RAİF,5516
İSKENDER,5508
NEBİ,5468
SADULLAH,5451
NAİM,5440
ŞEHMUS,5416
CELALETTİN,5327
ONUR,5327
HULUSİ,5322
HABİP,5283
